name,created_at,updated_at,stars,language,releases,merged_pr,total_issues,closed_issues
kubernetes,2014-06-06T22:56:04Z,2026-03-14T15:35:42Z,121124,Go,784,64170,48689,46865
electron,2013-04-12T01:47:36Z,2026-03-14T15:06:57Z,120475,C++,1000,24679,21492,20755
free-for-dev,2015-03-18T21:06:26Z,2026-03-14T16:03:22Z,119952,HTML,0,2906,0,0
excalidraw,2020-01-02T01:04:43Z,2026-03-14T16:18:56Z,118719,TypeScript,14,3850,4668,2577
free-programming-books-zh_CN,2013-11-04T01:59:19Z,2026-03-14T14:39:19Z,116457,,3,282,0,0
node,2014-11-26T19:57:11Z,2026-03-14T15:41:22Z,116241,JavaScript,487,11934,20115,18358
iptv,2018-11-14T22:00:57Z,2026-03-14T16:25:15Z,112874,TypeScript,0,6834,22226,21922
d3,2010-09-27T17:22:42Z,2026-03-14T16:28:19Z,112538,Shell,194,494,2239,2229
three.js,2010-03-23T18:58:01Z,2026-03-14T15:55:33Z,111353,JavaScript,175,15268,13525,13093
rust,2010-06-16T20:39:03Z,2026-03-14T16:38:53Z,111195,Rust,147,69744,61712,50531
ui,2023-01-04T12:43:27Z,2026-03-14T16:34:30Z,109495,TypeScript,83,1058,3960,3004
rustdesk,2020-09-28T15:36:08Z,2026-03-14T16:22:57Z,109297,Rust,36,3952,4017,3955
axios,2014-08-18T22:30:27Z,2026-03-14T16:31:39Z,108652,JavaScript,109,1140,4962,4760
Awesome-Hacking,2016-03-30T15:47:10Z,2026-03-14T15:19:46Z,108343,,0,34,0,0
TypeScript,2014-06-17T15:28:39Z,2026-03-14T16:13:30Z,108152,TypeScript,215,14859,42983,37999
generative-ai-for-beginners,2023-06-19T16:28:59Z,2026-03-14T16:12:44Z,107986,Jupyter Notebook,0,542,208,206
godot,2014-01-04T16:05:36Z,2026-03-14T16:37:54Z,107834,C++,66,41549,61397,48380
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2026-03-14T16:32:06Z,106847,Java,0,0,343,162
deno,2018-05-15T01:34:26Z,2026-03-14T14:30:49Z,106342,Rust,369,14416,13989,11762
ComfyUI,2023-01-17T03:15:56Z,2026-03-14T16:17:29Z,105831,Python,128,2258,8043,4565
frp,2015-12-21T15:24:59Z,2026-03-14T15:57:06Z,105201,Go,109,761,4066,4025
nodebestpractices,2017-09-15T08:33:19Z,2026-03-14T15:38:04Z,105175,Dockerfile,0,766,335,286
