name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
dotfiles;2011-09-05 18:07:54+00:00;2026-03-14 08:45:02+00:00;31270;Shell;0;44;393;255;5303;14.53;0.34;0.648854961832061
interactive-coding-challenges;2015-04-28 21:36:39+00:00;2026-03-14 11:40:03+00:00;31240;Python;0;176;69;32;3972;10.88;0.22;0.463768115942029
agents;2025-07-24 23:28:14+00:00;2026-03-14 16:36:28+00:00;31223;Python;0;53;61;58;232;0.64;0.01;0.9508196721311475
motion;2018-11-16 09:48:38+00:00;2026-03-14 11:51:24+00:00;31200;TypeScript;0;1209;1917;1756;2675;7.33;0.21;0.9160146061554513
jsPDF;2009-12-06 14:56:32+00:00;2026-03-14 09:09:19+00:00;31180;JavaScript;41;753;2589;2485;5942;16.28;0.32;0.9598300502124373
Blog;2017-03-13 10:04:33+00:00;2026-03-14 06:40:02+00:00;31117;;0;3;404;101;3288;9.01;0.43;0.25
DevToys;2021-09-29 01:40:41+00:00;2026-03-14 15:10:50+00:00;31085;C#;39;501;980;664;1627;4.46;0.07;0.6775510204081633
pear-desktop;2019-04-19 18:14:40+00:00;2026-03-14 16:33:21+00:00;31050;TypeScript;87;1630;1964;1380;2520;6.9;0.02;0.7026476578411406
docsify;2016-11-20 07:55:43+00:00;2026-03-14 14:44:33+00:00;31046;JavaScript;17;784;1311;1230;3401;9.32;0.09;0.9382151029748284
Sortable;2013-12-19 10:10:13+00:00;2026-03-14 05:33:16+00:00;31036;JavaScript;31;248;1826;1346;4468;12.24;0.47;0.7371303395399781
ML-From-Scratch;2017-02-05 12:11:23+00:00;2026-03-14 11:26:35+00:00;31031;Python;0;9;78;37;3324;9.11;0.23;0.47435897435897434
tqdm;2015-06-03 13:13:14+00:00;2026-03-14 09:49:19+00:00;31029;Python;133;289;1040;594;3937;10.79;0.3;0.5711538461538461
podman;2017-11-01 15:01:27+00:00;2026-03-14 12:48:36+00:00;31023;Go;237;12242;10493;9571;3055;8.37;0.17;0.9121318974554465
fabric.js;2010-06-09 22:24:38+00:00;2026-03-14 14:56:25+00:00;31004;TypeScript;181;2430;6206;5782;5756;15.77;0.08;0.9316790203029326
symfony;2010-01-04 14:21:21+00:00;2026-03-14 14:46:09+00:00;30972;PHP;603;25614;21801;21444;5913;16.2;0.09;0.983624604375946
