name;created_at;updated_at;stars;language;releases;merged_pr;total_issues;closed_issues;idade_dias;idade_anos;dias_desde_update;taxa_issues_fechadas
n8n;2019-06-22 09:24:21+00:00;2026-03-14 16:38:14+00:00;179102;TypeScript;556;14285;8332;7894;2457;6.73;0.01;0.9474315890542487
flutter;2015-03-06 22:54:58+00:00;2026-03-14 15:46:16+00:00;175555;Dart;7;47069;112599;100410;4025;11.03;0.05;0.8917485945701117
bootstrap;2011-07-29 21:19:00+00:00;2026-03-14 14:58:32+00:00;174071;MDX;94;9143;22851;22543;5341;14.63;0.08;0.9865213776202354
gitignore;2010-11-08 20:17:14+00:00;2026-03-14 15:50:06+00:00;172982;;0;1727;0;0;5604;15.35;0.05;0.0
Microsoft-Activation-Scripts;2020-01-12 23:03:34+00:00;2026-03-14 16:34:14+00:00;168745;Batchfile;29;6;914;913;2252;6.17;0.01;0.9989059080962801
awesome-go;2014-07-06 13:42:15+00:00;2026-03-14 16:26:13+00:00;167323;Go;0;3623;728;715;4269;11.7;0.02;0.9821428571428571
ollama;2023-06-26 19:39:32+00:00;2026-03-14 16:37:15+00:00;165046;Go;191;3112;9576;7573;991;2.72;0.01;0.7908312447786132
stable-diffusion-webui;2022-08-22 14:05:26+00:00;2026-03-14 16:31:14+00:00;161704;Python;27;1884;7892;5487;1300;3.56;0.02;0.6952610238215915
the-art-of-command-line;2015-05-20 15:11:03+00:00;2026-03-14 15:19:35+00:00;160284;;0;317;262;136;3951;10.82;0.07;0.5190839694656488
transformers;2018-10-29 13:56:00+00:00;2026-03-14 16:37:14+00:00;157809;Python;244;18834;18710;17641;2693;7.38;0.01;0.9428647781934795
JavaGuide;2018-05-07 13:27:00+00:00;2026-03-14 16:11:39+00:00;154232;Java;0;1216;1133;1066;2868;7.86;0.03;0.940864960282436
prompts.chat;2022-12-05 13:54:13+00:00;2026-03-14 16:37:12+00:00;152373;HTML;0;201;138;130;1195;3.27;0.01;0.9420289855072463
FreeDomain;2024-05-30 13:23:00+00:00;2026-03-14 16:40:51+00:00;152349;HTML;0;1;0;0;653;1.79;0.01;0.0
yt-dlp;2020-10-26 04:22:55+00:00;2026-03-14 16:32:01+00:00;151153;Python;132;3237;11180;9357;1965;5.38;0.02;0.8369409660107334
javascript;2012-11-01 23:13:50+00:00;2026-03-14 15:43:53+00:00;148115;JavaScript;0;813;1404;1302;4880;13.37;0.05;0.9273504273504274
HelloGitHub;2016-05-04 06:24:11+00:00;2026-03-14 16:33:39+00:00;146076;Python;63;17;2971;2681;3601;9.87;0.01;0.9023897677549647
langflow;2023-02-08 22:28:03+00:00;2026-03-14 16:38:00+00:00;145654;Python;286;5846;3185;2844;1129;3.09;0.01;0.8929356357927787
youtube-dl;2010-10-31 14:35:07+00:00;2026-03-14 15:39:03+00:00;139867;Python;341;1646;26819;23190;5613;15.38;0.05;0.8646854841716693
next.js;2016-10-05 23:32:51+00:00;2026-03-14 15:54:29+00:00;138290;JavaScript;1000;26262;24339;22285;3446;9.44;0.04;0.9156086938658121
tech-interview-handbook;2016-07-05 05:00:48+00:00;2026-03-14 16:33:04+00:00;138130;TypeScript;0;486;121;77;3539;9.7;0.02;0.6363636363636364
scrcpy;2017-11-21 18:00:27+00:00;2026-03-14 16:14:25+00:00;136975;C;50;124;5970;3289;3034;8.31;0.03;0.5509212730318258
go;2014-08-19 04:33:40+00:00;2026-03-14 16:14:52+00:00;133041;Go;0;1;70577;61106;4225;11.58;0.03;0.8658061408107457
fucking-algorithm;2020-02-19 09:01:23+00:00;2026-03-14 15:06:28+00:00;133033;Markdown;0;244;963;962;2215;6.07;0.08;0.9989615784008308
dify;2023-04-12 07:40:24+00:00;2026-03-14 16:38:24+00:00;132793;TypeScript;158;9875;16870;16476;1067;2.92;0.01;0.9766449318316538
system-prompts-and-models-of-ai-tools;2025-03-05 16:38:29+00:00;2026-03-14 16:33:31+00:00;130952;;0;46;194;111;374;1.02;0.02;0.5721649484536082
PowerToys;2019-05-01 17:44:02+00:00;2026-03-14 15:56:51+00:00;130499;C#;127;6386;38378;30270;2508;6.87;0.04;0.7887331283547866
langchain;2022-10-17 02:58:36+00:00;2026-03-14 16:37:48+00:00;129470;Python;1000;16110;9167;8888;1244;3.41;0.01;0.9695647431002509
open-webui;2023-10-06 22:08:27+00:00;2026-03-14 16:39:25+00:00;127161;Python;154;3379;7899;7715;889;2.44;0.01;0.9767059121407773
30-seconds-of-code;2017-11-29 17:35:03+00:00;2026-03-14 16:29:57+00:00;127078;JavaScript;12;836;300;300;3026;8.29;0.02;1.0
react-native;2015-01-09 18:10:16+00:00;2026-03-14 14:47:25+00:00;125575;C++;446;959;27589;26837;4081;11.18;0.09;0.9727427597955707
hello-algo;2022-11-04 11:08:34+00:00;2026-03-14 15:58:17+00:00;123238;Java;10;968;283;274;1226;3.36;0.04;0.9681978798586572
opencode;2025-04-30 20:08:00+00:00;2026-03-14 16:38:01+00:00;122044;TypeScript;736;2740;10506;5342;317;0.87;0.01;0.5084713497049305
kubernetes;2014-06-06 22:56:04+00:00;2026-03-14 15:35:42+00:00;121124;Go;784;64170;48689;46865;4298;11.78;0.06;0.9625377395304894
electron;2013-04-12 01:47:36+00:00;2026-03-14 15:06:57+00:00;120475;C++;1000;24679;21492;20755;4719;12.93;0.08;0.9657081704820398
free-for-dev;2015-03-18 21:06:26+00:00;2026-03-14 16:03:22+00:00;119952;HTML;0;2906;0;0;4013;10.99;0.04;0.0
excalidraw;2020-01-02 01:04:43+00:00;2026-03-14 16:18:56+00:00;118719;TypeScript;14;3850;4668;2577;2263;6.2;0.03;0.5520565552699229
free-programming-books-zh_CN;2013-11-04 01:59:19+00:00;2026-03-14 14:39:19+00:00;116457;;3;282;0;0;4513;12.36;0.09;0.0
node;2014-11-26 19:57:11+00:00;2026-03-14 15:41:22+00:00;116241;JavaScript;487;11934;20115;18358;4125;11.3;0.05;0.9126522495650012
iptv;2018-11-14 22:00:57+00:00;2026-03-14 16:25:15+00:00;112874;TypeScript;0;6834;22226;21922;2676;7.33;0.02;0.9863223252047152
d3;2010-09-27 17:22:42+00:00;2026-03-14 16:28:19+00:00;112538;Shell;194;494;2239;2229;5646;15.47;0.02;0.9955337204108977
three.js;2010-03-23 18:58:01+00:00;2026-03-14 15:55:33+00:00;111353;JavaScript;175;15268;13525;13093;5834;15.98;0.04;0.9680591497227357
rust;2010-06-16 20:39:03+00:00;2026-03-14 16:38:53+00:00;111195;Rust;147;69744;61712;50531;5749;15.75;0.01;0.8188196785066113
ui;2023-01-04 12:43:27+00:00;2026-03-14 16:34:30+00:00;109495;TypeScript;83;1058;3960;3004;1165;3.19;0.01;0.7585858585858586
rustdesk;2020-09-28 15:36:08+00:00;2026-03-14 16:22:57+00:00;109297;Rust;36;3952;4017;3955;1993;5.46;0.02;0.9845655962160816
axios;2014-08-18 22:30:27+00:00;2026-03-14 16:31:39+00:00;108652;JavaScript;109;1140;4962;4760;4225;11.58;0.02;0.9592906086255543
Awesome-Hacking;2016-03-30 15:47:10+00:00;2026-03-14 15:19:46+00:00;108343;;0;34;0;0;3636;9.96;0.07;0.0
TypeScript;2014-06-17 15:28:39+00:00;2026-03-14 16:13:30+00:00;108152;TypeScript;215;14859;42983;37999;4288;11.75;0.03;0.8840471814438267
generative-ai-for-beginners;2023-06-19 16:28:59+00:00;2026-03-14 16:12:44+00:00;107986;Jupyter Notebook;0;542;208;206;999;2.74;0.03;0.9903846153846154
godot;2014-01-04 16:05:36+00:00;2026-03-14 16:37:54+00:00;107834;C++;66;41549;61397;48380;4452;12.2;0.01;0.7879863836995293
GitHub-Chinese-Top-Charts;2019-09-05 03:01:56+00:00;2026-03-14 16:32:06+00:00;106847;Java;0;0;343;162;2382;6.53;0.02;0.47230320699708456
deno;2018-05-15 01:34:26+00:00;2026-03-14 14:30:49+00:00;106342;Rust;369;14416;13989;11762;2860;7.84;0.1;0.8408034884552148
ComfyUI;2023-01-17 03:15:56+00:00;2026-03-14 16:17:29+00:00;105831;Python;128;2258;8043;4565;1152;3.16;0.03;0.56757428820092
frp;2015-12-21 15:24:59+00:00;2026-03-14 15:57:06+00:00;105201;Go;109;761;4066;4025;3736;10.24;0.04;0.9899163797343827
nodebestpractices;2017-09-15 08:33:19+00:00;2026-03-14 15:38:04+00:00;105175;Dockerfile;0;766;335;286;3102;8.5;0.05;0.8537313432835821
tauri;2019-07-13 09:09:37+00:00;2026-03-14 16:33:19+00:00;104080;Rust;0;5410;6182;4918;2436;6.67;0.02;0.7955354254286638
papers-we-love;2013-12-15 14:31:41+00:00;2026-03-14 16:40:52+00:00;104074;Shell;0;439;248;246;4472;12.25;0.01;0.9919354838709677
create-react-app;2016-07-17 14:55:11+00:00;2026-03-14 10:27:25+00:00;103823;JavaScript;83;1949;8424;6574;3527;9.66;0.27;0.7803893637226971
clash-verge-rev;2023-11-21 18:24:03+00:00;2026-03-14 16:39:30+00:00;102745;TypeScript;62;768;5037;4866;843;2.31;0.01;0.9660512209648601
terminal;2017-08-11 18:38:22+00:00;2026-03-14 16:33:13+00:00;102190;C++;148;4391;13828;12184;3136;8.59;0.02;0.8811107897020538
DeepSeek-V3;2024-12-26 09:52:40+00:00;2026-03-14 16:38:46+00:00;102142;Python;1;25;736;684;443;1.21;0.01;0.9293478260869565
awesome-llm-apps;2024-04-29 05:30:25+00:00;2026-03-14 16:14:22+00:00;102067;Python;0;171;125;124;684;1.87;0.03;0.992
awesome-mac;2016-07-17 15:33:47+00:00;2026-03-14 16:35:20+00:00;100158;JavaScript;14;1090;516;379;3527;9.66;0.01;0.7344961240310077
angular;2014-09-18 16:12:01+00:00;2026-03-14 16:32:07+00:00;100083;TypeScript;618;5783;30452;29449;4195;11.49;0.02;0.9670629186917116
supabase;2019-10-12 05:56:49+00:00;2026-03-14 16:33:00+00:00;98958;TypeScript;26;15764;5273;5000;2345;6.42;0.02;0.9482268158543523
HowToCook;2020-02-29 10:43:49+00:00;2026-03-14 15:09:12+00:00;98785;Dockerfile;4;616;828;364;2205;6.04;0.07;0.4396135265700483
v2rayN;2019-07-30 03:47:24+00:00;2026-03-14 16:37:24+00:00;98758;C#;302;405;6621;6609;2419;6.63;0.01;0.9981875849569551
pytorch;2016-08-13 05:26:41+00:00;2026-03-14 16:20:18+00:00;98244;Python;64;6444;57310;41253;3500;9.59;0.02;0.719822020589775
every-programmer-should-know;2017-08-24 13:18:26+00:00;2026-03-14 16:38:25+00:00;98242;;0;110;45;31;3124;8.56;0.01;0.6888888888888889
material-ui;2014-08-18 19:11:54+00:00;2026-03-14 16:26:47+00:00;98012;JavaScript;559;21523;20356;18766;4225;11.58;0.02;0.921890351739045
llama.cpp;2023-03-10 18:58:00+00:00;2026-03-14 16:03:17+00:00;97912;C++;1000;7615;7276;6799;1099;3.01;0.04;0.9344420010995053
ant-design;2015-04-24 15:37:24+00:00;2026-03-14 16:26:54+00:00;97702;TypeScript;741;17138;32437;31161;3977;10.9;0.02;0.9606622067392175
gemini-cli;2025-04-17 17:04:31+00:00;2026-03-14 16:35:00+00:00;97698;TypeScript;417;5527;11255;8982;330;0.9;0.01;0.798045313194136
neovim;2014-01-31 13:39:22+00:00;2026-03-14 16:09:38+00:00;97167;Vim Script;48;17827;13773;12144;4425;12.12;0.03;0.8817251143541712
fastapi;2018-12-08 08:21:47+00:00;2026-03-14 16:35:53+00:00;96196;Python;269;3176;3510;3499;2653;7.27;0.01;0.9968660968660968
whisper;2022-09-16 20:02:54+00:00;2026-03-14 16:22:15+00:00;95936;Python;13;119;0;0;1274;3.49;0.02;0.0
thefuck;2015-04-08 15:08:04+00:00;2026-03-14 13:49:31+00:00;95692;Python;17;481;774;477;3993;10.94;0.13;0.6162790697674418
Web-Dev-For-Beginners;2020-11-10 02:44:00+00:00;2026-03-14 16:29:42+00:00;95422;JavaScript;0;667;426;387;1950;5.34;0.02;0.9084507042253521
immich;2022-02-03 15:56:27+00:00;2026-03-14 16:34:28+00:00;94712;TypeScript;287;8794;8045;7548;1500;4.11;0.01;0.93822249844624
clean-code-javascript;2016-11-25 22:25:41+00:00;2026-03-14 15:34:40+00:00;94322;JavaScript;0;149;245;165;3395;9.3;0.06;0.673469387755102
tailwindcss;2017-10-06 14:59:14+00:00;2026-03-14 16:38:06+00:00;94030;TypeScript;300;3308;4782;4726;3081;8.44;0.01;0.9882894186532831
puppeteer;2017-05-09 22:16:13+00:00;2026-03-14 16:10:19+00:00;93816;TypeScript;650;5852;7327;7065;3230;8.85;0.03;0.9642418452299714
java-design-patterns;2014-08-09 16:45:18+00:00;2026-03-14 12:08:01+00:00;93800;Java;0;1520;979;840;4235;11.6;0.2;0.8580183861082737
skills;2025-09-22 15:53:31+00:00;2026-03-14 16:41:10+00:00;93356;Python;0;22;176;26;173;0.47;0.01;0.14772727272727273
firecrawl;2024-04-15 21:02:29+00:00;2026-03-14 16:39:15+00:00;92908;TypeScript;32;1401;829;784;697;1.91;0.01;0.9457177322074789
nvm;2010-04-15 17:47:47+00:00;2026-03-14 16:36:08+00:00;92288;Shell;71;741;2395;2064;5811;15.92;0.01;0.8617954070981211
DeepSeek-R1;2025-01-20 11:57:28+00:00;2026-03-14 15:26:20+00:00;91961;;1;10;696;677;418;1.15;0.06;0.9727011494252874
app-ideas;2019-02-25 18:36:56+00:00;2026-03-14 16:07:00+00:00;91192;;0;151;196;51;2573;7.05;0.03;0.2602040816326531
markitdown;2024-11-13 19:56:40+00:00;2026-03-14 15:42:14+00:00;90737;Python;18;171;388;84;485;1.33;0.05;0.21649484536082475
vue-element-admin;2017-04-17 03:35:49+00:00;2026-03-14 13:47:32+00:00;90288;Vue;49;311;3613;2358;3253;8.91;0.13;0.6526432327705508
storybook;2016-03-18 04:23:44+00:00;2026-03-14 16:28:37+00:00;89444;TypeScript;1000;12349;14177;12069;3648;9.99;0.02;0.8513084573605135
bitcoin;2010-12-19 15:16:43+00:00;2026-03-14 16:37:50+00:00;88489;C++;63;16233;9020;8664;5564;15.24;0.01;0.9605321507760533
gin;2014-06-16 23:57:25+00:00;2026-03-14 16:14:10+00:00;88230;Go;29;1227;2383;1789;4288;11.75;0.03;0.7507343684431389
bun;2021-04-14 00:48:17+00:00;2026-03-14 16:39:08+00:00;88105;Zig;210;7220;15858;10969;1795;4.92;0.01;0.6917013494766049
LLMs-from-scratch;2023-07-23 18:15:57+00:00;2026-03-14 16:41:37+00:00;88025;Jupyter Notebook;0;483;220;218;964;2.64;0.01;0.990909090909091
NextChat;2023-03-10 18:27:54+00:00;2026-03-14 16:08:57+00:00;87496;TypeScript;77;894;3582;2899;1099;3.01;0.03;0.809324399776661
hugo;2013-07-04 15:26:26+00:00;2026-03-14 15:12:59+00:00;87081;Go;365;3255;8046;7809;4636;12.7;0.07;0.9705443698732289
django;2012-04-28 02:47:18+00:00;2026-03-14 15:11:20+00:00;87038;Python;0;10348;0;0;5068;13.88;0.07;0.0
mermaid;2014-11-01 23:52:32+00:00;2026-03-14 16:11:19+00:00;86643;TypeScript;184;2610;3590;2226;4150;11.37;0.03;0.6200557103064067
opencv;2012-07-19 09:40:17+00:00;2026-03-14 16:14:45+00:00;86589;C++;67;13518;11446;8873;4986;13.66;0.03;0.7752053118993535
svelte;2016-11-20 18:13:05+00:00;2026-03-14 15:24:25+00:00;86049;JavaScript;611;6551;8944;8031;3400;9.32;0.06;0.8979203935599285
weekly;2018-10-13 12:36:07+00:00;2026-03-14 16:32:17+00:00;85990;;0;106;8574;1298;2709;7.42;0.02;0.15138791695824586
core;2013-09-17 07:29:48+00:00;2026-03-14 16:30:39+00:00;85335;Python;1000;82832;68535;65567;4561;12.5;0.02;0.9566936601736339
manim;2015-03-22 18:50:58+00:00;2026-03-14 15:56:12+00:00;85244;Python;13;662;1226;767;4009;10.98;0.04;0.6256117455138662
ML-For-Beginners;2021-03-03 01:34:05+00:00;2026-03-14 16:17:25+00:00;84380;Jupyter Notebook;0;446;159;158;1837;5.03;0.03;0.9937106918238994
playwright;2019-11-15 18:32:42+00:00;2026-03-14 16:15:36+00:00;84226;TypeScript;158;16354;17137;16542;2310;6.33;0.03;0.9652798039330105
uptime-kuma;2021-07-03 01:02:42+00:00;2026-03-14 16:25:45+00:00;84048;JavaScript;126;1699;4677;4017;1715;4.7;0.02;0.8588838999358563
laravel;2011-06-08 03:06:08+00:00;2026-03-14 16:00:48+00:00;83943;Blade;213;1672;0;0;5393;14.78;0.04;0.0
awesome-for-beginners;2015-10-24 19:53:36+00:00;2026-03-14 15:38:09+00:00;83466;;0;469;205;188;3793;10.39;0.05;0.9170731707317074
mall;2018-04-04 01:11:44+00:00;2026-03-14 15:22:44+00:00;83146;Java;3;1;500;490;2901;7.95;0.06;0.98
awesome-mcp-servers;2024-11-30 04:49:10+00:00;2026-03-14 16:30:26+00:00;83073;;0;1582;238;229;469;1.28;0.02;0.9621848739495799
realworld;2016-02-26 20:49:53+00:00;2026-03-14 15:38:19+00:00;82995;TypeScript;0;434;545;513;3668;10.05;0.05;0.9412844036697248
superpowers;2025-10-09 19:45:18+00:00;2026-03-14 16:41:10+00:00;82827;Shell;0;43;378;322;155;0.42;0.01;0.8518518518518519
animate.css;2011-10-12 10:07:38+00:00;2026-03-14 16:04:26+00:00;82631;CSS;22;315;883;843;5267;14.43;0.04;0.9546998867497168
devops-exercises;2019-10-03 17:31:21+00:00;2026-03-14 16:39:21+00:00;81491;Python;0;309;104;70;2353;6.45;0.01;0.6730769230769231
awesome-interview-questions;2015-11-28 09:48:17+00:00;2026-03-14 15:54:52+00:00;81408;;0;175;61;34;3759;10.3;0.04;0.5573770491803278
FiraCode;2014-11-11 19:32:38+00:00;2026-03-14 16:32:25+00:00;81294;Clojure;29;142;1380;961;4140;11.34;0.02;0.696376811594203
servers;2024-11-19 01:10:17+00:00;2026-03-14 16:14:27+00:00;81071;TypeScript;24;1180;867;565;480;1.32;0.03;0.6516724336793541
uv;2023-10-02 20:24:11+00:00;2026-03-14 16:35:45+00:00;80944;Rust;261;8592;8648;6307;893;2.45;0.01;0.7293015726179464
syncthing;2013-11-26 09:48:21+00:00;2026-03-14 16:41:13+00:00;80801;Go;463;2841;5867;5491;4491;12.3;0.01;0.9359127322311233
browser-use;2024-10-31 16:00:56+00:00;2026-03-14 16:34:45+00:00;80768;Python;119;1684;1413;1300;499;1.37;0.01;0.9200283085633404
system-design-101;2023-09-18 20:52:03+00:00;2026-03-14 16:41:08+00:00;80732;;0;23;59;19;907;2.48;0.01;0.3220338983050847
spring-boot;2012-10-19 15:02:57+00:00;2026-03-14 16:19:50+00:00;80243;Java;339;45;41553;41061;4894;13.41;0.02;0.9881596996606743
Deep-Live-Cam;2023-09-24 13:19:31+00:00;2026-03-14 15:56:19+00:00;80018;Python;11;98;1118;1038;902;2.47;0.04;0.9284436493738819
funNLP;2018-08-21 11:20:39+00:00;2026-03-14 16:33:39+00:00;79380;Python;0;14;85;48;2762;7.57;0.01;0.5647058823529412
vite;2020-04-21 05:03:57+00:00;2026-03-14 16:32:26+00:00;78931;TypeScript;665;6094;8376;7911;2153;5.9;0.02;0.9444842406876791
advanced-java;2018-10-06 11:38:30+00:00;2026-03-14 16:18:46+00:00;78898;Java;1;89;148;147;2716;7.44;0.03;0.9932432432432432
github-readme-stats;2020-07-09 10:34:22+00:00;2026-03-14 14:30:16+00:00;78718;JavaScript;0;1568;1385;1228;2074;5.68;0.1;0.8866425992779784
fzf;2013-10-23 16:04:23+00:00;2026-03-14 16:33:09+00:00;78587;Go;76;645;3109;2858;4525;12.4;0.02;0.9192666452235445
hoppscotch;2019-08-21 13:15:24+00:00;2026-03-14 16:16:47+00:00;78447;TypeScript;99;2041;2353;1774;2397;6.57;0.03;0.753931151721207
netdata;2013-06-17 18:39:10+00:00;2026-03-14 15:55:44+00:00;78059;C;132;11782;8204;8052;4652;12.75;0.04;0.9814724524622136
claude-code;2025-02-22 17:41:21+00:00;2026-03-14 16:35:13+00:00;77885;Shell;61;146;32829;26801;384;1.05;0.01;0.816381857504036
models;2016-02-05 01:15:20+00:00;2026-03-14 09:09:01+00:00;77688;Python;51;2342;7324;6240;3690;10.11;0.32;0.85199344620426
gpt4all;2023-03-27 18:49:32+00:00;2026-03-14 13:57:08+00:00;77227;C++;38;938;2213;1493;1082;2.96;0.12;0.6746497966561229
zed;2021-02-20 03:01:06+00:00;2026-03-14 16:23:28+00:00;77128;Rust;1000;22379;18841;16171;1848;5.06;0.02;0.85828777665729
cs-video-courses;2016-10-21 17:02:11+00:00;2026-03-14 16:33:44+00:00;77098;;0;258;0;0;3430;9.4;0.01;0.0
spec-kit;2025-08-21 22:54:31+00:00;2026-03-14 16:39:40+00:00;76743;Python;115;210;894;358;204;0.56;0.01;0.4004474272930649
LeetCodeAnimation;2018-12-06 08:01:22+00:00;2026-03-14 07:05:58+00:00;76718;Java;0;63;61;43;2655;7.27;0.41;0.7049180327868853
llm-course;2023-06-17 22:16:25+00:00;2026-03-14 16:16:33+00:00;76659;;0;2;95;32;1000;2.74;0.03;0.3368421052631579
code-server;2019-02-27 16:50:41+00:00;2026-03-14 14:49:02+00:00;76636;TypeScript;226;1643;3801;3631;2572;7.05;0.09;0.9552749276506183
localsend;2022-12-16 00:46:07+00:00;2026-03-14 15:56:11+00:00;76470;Dart;24;702;1605;742;1184;3.24;0.04;0.46230529595015574
Font-Awesome;2012-02-17 14:19:43+00:00;2026-03-14 16:30:00+00:00;76414;JavaScript;63;220;19905;19612;5139;14.08;0.02;0.9852800803818136
elasticsearch;2010-02-08 13:20:56+00:00;2026-03-14 16:05:13+00:00;76337;Java;235;87745;43251;38791;5878;16.1;0.03;0.8968809969711683
d2l-zh;2017-08-23 04:40:24+00:00;2026-03-14 13:40:38+00:00;76190;Python;16;1019;0;0;3125;8.56;0.14;0.0
PayloadsAllTheThings;2016-10-18 07:29:07+00:00;2026-03-14 16:10:58+00:00;76039;Python;5;564;0;0;3434;9.41;0.03;0.0
Best-websites-a-programmer-should-visit;2017-03-05 20:25:17+00:00;2026-03-14 11:25:57+00:00;75842;;0;431;185;105;3295;9.03;0.23;0.5675675675675675
json-server;2013-11-27 13:21:13+00:00;2026-03-14 16:05:44+00:00;75655;JavaScript;47;165;1181;566;4490;12.3;0.03;0.4792548687552921
everything-claude-code;2026-01-18 00:51:51+00:00;2026-03-14 16:41:31+00:00;75588;JavaScript;10;135;161;152;55;0.15;0.01;0.9440993788819876
Stirling-PDF;2023-01-27 18:22:42+00:00;2026-03-14 16:17:43+00:00;75287;TypeScript;170;3202;1668;1319;1141;3.13;0.03;0.7907673860911271
Ventoy;2020-03-10 15:19:19+00:00;2026-03-14 16:39:15+00:00;75053;C;108;294;2696;1877;2195;6.01;0.01;0.6962166172106825
ragflow;2023-12-12 06:13:13+00:00;2026-03-14 16:29:34+00:00;74989;Python;40;5553;6672;3645;823;2.25;0.02;0.5463129496402878
nest;2017-02-04 20:12:52+00:00;2026-03-14 13:01:57+00:00;74914;TypeScript;143;8113;5789;5772;3324;9.11;0.16;0.9970633960960442
union;2023-05-16 22:33:39+00:00;2026-03-14 11:47:21+00:00;74237;Rust;107;3102;1837;1709;1032;2.83;0.21;0.9303211758301578
lazygit;2018-05-19 00:53:06+00:00;2026-03-14 16:32:40+00:00;74186;Go;177;1823;2527;1744;2856;7.82;0.02;0.6901464186782746
sherlock;2018-12-24 14:30:48+00:00;2026-03-14 16:10:49+00:00;73687;Python;2;735;1150;1070;2637;7.22;0.03;0.9304347826086956
lobehub;2023-05-21 07:19:12+00:00;2026-03-14 16:32:41+00:00;73643;TypeScript;1000;4442;5486;5037;1028;2.82;0.02;0.9181553044112286
awesome-vue;2015-10-20 00:16:14+00:00;2026-03-14 09:42:16+00:00;73628;;0;3619;231;191;3798;10.41;0.3;0.8268398268398268
awesome-public-datasets;2014-11-20 06:20:50+00:00;2026-03-14 16:19:55+00:00;73410;;1;188;124;48;4132;11.32;0.02;0.3870967741935484
redis;2009-03-21 22:32:25+00:00;2026-03-14 15:37:47+00:00;73393;C;117;4436;6919;4708;6201;16.99;0.05;0.6804451510333863
vllm;2023-02-09 11:23:20+00:00;2026-03-14 16:36:17+00:00;73074;Python;86;14763;14046;12345;1129;3.09;0.01;0.8788979068774028
tesseract;2014-08-12 18:04:59+00:00;2026-03-14 16:13:22+00:00;72893;C++;35;1432;2749;2318;4231;11.59;0.03;0.8432157148053838
the-algorithm;2023-03-27 14:57:57+00:00;2026-03-14 16:16:10+00:00;72858;Scala;0;2;1067;749;1083;2.97;0.03;0.7019681349578257
stable-diffusion;2022-08-10 14:36:44+00:00;2026-03-14 16:14:57+00:00;72686;Jupyter Notebook;0;5;736;199;1312;3.59;0.03;0.2703804347826087
grafana;2013-12-11 15:59:56+00:00;2026-03-14 16:07:46+00:00;72643;TypeScript;597;63050;43321;40055;4476;12.26;0.03;0.9246093118810739
awesome-react;2014-08-06 05:31:44+00:00;2026-03-14 16:15:36+00:00;72371;;0;794;119;117;4238;11.61;0.03;0.9831932773109243
Front-End-Checklist;2017-10-16 10:12:36+00:00;2026-03-14 15:56:14+00:00;72350;;1;179;152;151;3071;8.41;0.04;0.993421052631579
PaddleOCR;2020-05-08 10:38:16+00:00;2026-03-14 16:40:00+00:00;72278;Python;29;3128;10510;10301;2136;5.85;0.01;0.9801141769743101
openai-cookbook;2022-03-11 02:08:53+00:00;2026-03-14 16:13:56+00:00;72109;Jupyter Notebook;0;1012;736;669;1464;4.01;0.03;0.9089673913043478
awesome-machine-learning;2014-07-15 19:11:19+00:00;2026-03-14 16:03:44+00:00;71969;Python;0;901;99;97;4259;11.67;0.04;0.9797979797979798
imgui;2014-07-21 14:29:47+00:00;2026-03-14 16:14:55+00:00;71952;C++;118;419;6804;5762;4254;11.65;0.03;0.8468547912992358
cpython;2017-02-10 19:23:51+00:00;2026-03-14 16:30:35+00:00;71933;Python;0;57456;75559;68387;3318;9.09;0.02;0.9050807977871597
screenshot-to-code;2023-11-14 17:53:32+00:00;2026-03-14 15:45:22+00:00;71924;TypeScript;0;76;396;282;850;2.33;0.05;0.7121212121212122
cs-self-learning;2021-10-20 13:43:42+00:00;2026-03-14 15:58:15+00:00;71826;HTML;5;315;231;107;1606;4.4;0.04;0.46320346320346323
Prompt-Engineering-Guide;2022-12-16 16:04:50+00:00;2026-03-14 16:00:47+00:00;71612;MDX;0;342;241;74;1184;3.24;0.04;0.3070539419087137
strapi;2015-09-30 15:34:48+00:00;2026-03-14 16:32:14+00:00;71590;TypeScript;516;9606;11826;11264;3818;10.46;0.02;0.9524775917469981
moby;2013-01-18 18:10:57+00:00;2026-03-14 14:15:12+00:00;71520;Go;276;22372;23388;20118;4802;13.16;0.11;0.8601847101077476
flask;2010-04-06 11:11:59+00:00;2026-03-14 12:34:45+00:00;71331;Python;38;1628;2723;2723;5821;15.95;0.18;1.0
superset;2015-07-21 18:55:34+00:00;2026-03-14 16:12:02+00:00;70961;TypeScript;244;16542;12227;11603;3888;10.65;0.03;0.9489654044328126
obs-studio;2013-10-01 02:40:31+00:00;2026-03-14 16:23:06+00:00;70930;C;238;5425;4930;4172;4547;12.46;0.02;0.8462474645030426
protobuf;2014-08-26 15:52:15+00:00;2026-03-14 11:55:44+00:00;70840;C++;208;8775;6804;6681;4218;11.56;0.21;0.9819223985890653
caddy;2015-01-13 19:45:03+00:00;2026-03-14 15:58:18+00:00;70789;Go;134;2266;4498;4297;4077;11.17;0.04;0.9553134726545132
reveal.js;2011-06-07 18:54:22+00:00;2026-03-14 13:36:28+00:00;70729;JavaScript;50;414;2494;1703;5393;14.78;0.14;0.6828388131515638
gpt_academic;2023-03-20 09:05:13+00:00;2026-03-14 08:47:14+00:00;70222;Python;32;228;1757;1482;1090;2.99;0.34;0.8434832100170746
