linguagem;quantidade
Python;205
TypeScript;164
JavaScript;112
Go;76
Rust;53
C++;46
Java;45
C;23
Jupyter Notebook;23
Shell;21
HTML;17
Ruby;12
C#;11
Kotlin;10
CSS;8
Vue;7
Swift;7
Markdown;6
Dart;6
PHP;6
MDX;5
Vim Script;4
Clojure;4
Dockerfile;3
Zig;3
Makefile;3
Scala;2
Assembly;2
Nunjucks;2
PowerShell;2
Haskell;2
Svelte;2
TeX;2
Batchfile;1
Blade;1
Roff;1
Julia;1
Lua;1
V;1
LLVM;1
Elixir;1
Objective-C;1
